Variable	Negative	1	2	3	3	Zeroto2	Threeto4	missing
FAI_49	310	84	26	13	20	85.02	4.05	0
FAI_106	266	113	43	19	12	85.43	2.43	0
FAI_60	231	109	49	37	27	78.74	5.47	0
FAI_124	184	160	46	30	33	78.95	6.68	0
FAI_86	112	211	81	30	19	81.78	3.85	0
FAI_1	303	107	33	7	3	89.68	0.61	0
FAI_47	82	129	141	79	22	71.26	4.45	0
FAI_121	272	154	16	8	3	89.47	0.61	0
FAI_57	323	98	22	7	3	89.68	0.61	0
FAI_167	37	114	194	70	38	69.84	7.69	0
FAI_91	298	109	19	14	13	86.23	2.63	0
FAI_99	25	134	161	54	79	64.78	15.99	0
FAI_135	327	85	31	4	6	89.68	1.21	0
FAI_63	171	132	77	57	16	76.92	3.24	0
FAI_168	262	100	42	29	20	81.78	4.05	0
FAI_5	204	123	66	36	24	79.55	4.86	0
FAI_132	123	144	95	53	38	73.28	7.69	0
FAI_85	86	172	161	27	7	84.82	1.42	0
FAI_81	72	145	97	81	58	63.56	11.74	0
FAI_83	154	153	76	42	28	77.53	5.67	0
